"Name","Team","W","SV","HLD","L","BS","ERA","FIP","SIERA","WHIP","IP","H","R","ER","HR","BB","IBB","HBP","WP","SO","K%","BB%","SwStr%","CSW%","playerid"
"Jhoulys Chacin","COL","0","0","0","0","0","0.00","7.67","10.31","2.00","2.0","1","0","0","0","3","0","0","0","0","0.0%","27.3%","6.8%","18.2%","2608"
"Liam Hendriks","CHW","0","2","0","0","0","0.00","-1.03","-0.12","0.00","3.1","0","0","0","0","0","0","0","0","7","70.0%","0.0%","20.0%","26.7%","3548"
"Mark Melancon","SDP","1","2","0","0","0","0.00","3.50","4.51","0.33","3.0","0","0","0","0","1","0","0","0","1","10.0%","10.0%","18.8%","31.3%","4264"
"Jesse Chavez","ATL","0","0","0","0","0","0.00","-0.83","0.33","0.50","2.0","1","0","0","0","0","0","0","0","4","57.1%","0.0%","16.0%","44.0%","5448"
"Steve Cishek","LAA","0","0","1","0","1","0.00","3.47","3.61","1.50","3.1","4","0","0","0","1","0","0","0","1","6.7%","6.7%","3.8%","25.0%","6483"
"Andrew Miller","STL","0","0","2","0","0","0.00","4.03","4.93","2.14","2.1","4","0","0","0","1","0","1","0","2","15.4%","7.7%","6.5%","37.0%","6785"
"Joakim Soria","ARI","1","2","0","0","0","0.00","0.17","1.44","0.25","4.0","1","0","0","0","0","0","0","0","6","46.2%","0.0%","17.9%","33.9%","6941"
"Ian Kennedy","TEX","0","1","0","0","0","0.00","2.50","4.85","0.33","3.0","1","0","0","0","0","0","0","0","1","11.1%","0.0%","6.5%","12.9%","6986"
"Ryan Pressly","HOU","0","2","0","0","0","0.00","1.17","0.78","0.33","3.0","1","0","0","0","0","0","0","0","3","30.0%","0.0%","12.2%","24.4%","7005"
"Collin McHugh","TBR","0","0","1","0","0","0.00","-0.83","-0.08","0.33","3.0","1","0","0","0","0","0","0","0","6","66.7%","0.0%","30.3%","48.5%","7531"
"Jake McGee","SFG","0","2","0","0","0","0.00","2.67","3.63","1.50","2.0","2","0","0","0","1","0","0","0","2","22.2%","11.1%","11.5%","23.1%","7550"
"Richard Bleier","MIA","0","0","1","0","0","0.00","2.35","1.53","0.82","3.2","2","0","0","0","1","1","0","0","3","23.1%","7.7%","5.1%","35.9%","7803"
"Hunter Strickland","MIL","0","0","0","0","0","0.00","0.50","0.74","0.00","3.0","0","0","0","0","0","0","0","0","4","50.0%","0.0%","27.6%","41.4%","7836"
"Deolis Guerra","OAK","0","0","1","0","0","0.00","2.35","4.10","0.82","3.2","2","0","0","0","1","0","0","0","3","23.1%","7.7%","13.0%","20.4%","8410"
"Brad Hand","WSN","0","1","0","0","0","0.00","0.60","1.80","0.43","2.1","1","0","0","0","0","0","0","0","3","37.5%","0.0%","8.8%","38.2%","9111"
"Sergio Romo","OAK","0","0","0","0","1","0.00","2.05","3.12","0.75","2.2","1","0","0","0","1","0","0","1","3","30.0%","10.0%","15.2%","30.4%","9817"
"Brad Boxberger","MIL","0","0","1","0","0","0.00","3.17","5.10","2.00","3.0","2","0","0","0","4","0","0","0","6","40.0%","26.7%","13.4%","25.4%","10133"
"Scott Alexander","LAD","0","0","0","0","0","0.00","3.17","4.31","1.88","2.2","3","0","0","0","2","0","0","0","3","23.1%","15.4%","12.3%","22.8%","10591"
"Josh Osich","CIN","1","0","2","0","0","0.00","4.67","7.28","0.75","2.2","0","0","0","0","2","0","0","0","1","10.0%","20.0%","5.7%","28.6%","11528"
"Luke Jackson","ATL","0","0","1","0","0","0.00","1.42","2.48","0.50","4.0","1","0","0","0","1","0","0","0","5","35.7%","7.1%","10.4%","25.4%","11752"
