"Name","Team","W","SV","HLD","L","BS","ERA","FIP","SIERA","WHIP","IP","H","R","ER","HR","BB","IBB","SO","K%","BB%","SwStr%","CSW%","playerid"
"Jhoulys Chacin","COL","1","0","2","0","0","0.00","4.57","6.39","1.20","5.0","3","0","0","0","3","0","1","4.5%","13.6%","8.6%","21.5%","2608"
"Ross Detwiler","MIA","0","0","0","0","0","0.00","3.42","4.66","0.25","4.0","1","0","0","0","0","0","1","7.7%","0.0%","4.2%","22.9%","2859"
"Kenley Jansen","LAD","0","3","0","0","0","0.00","2.74","3.61","1.50","4.2","4","0","0","0","3","0","7","33.3%","14.3%","15.7%","31.5%","3096"
"Jesse Chavez","ATL","0","0","0","0","0","0.00","0.36","1.14","0.38","5.1","1","0","0","0","1","0","9","50.0%","5.6%","10.0%","41.4%","5448"
"Steve Cishek","LAA","0","0","3","0","2","0.00","2.52","3.92","1.04","7.2","7","0","0","0","1","0","4","13.8%","3.4%","4.3%","26.9%","6483"
"Joakim Soria","ARI","1","3","0","0","0","0.00","1.34","2.40","0.50","6.0","2","0","0","0","1","0","7","35.0%","5.0%","15.9%","31.7%","6941"
"Ryan Pressly","HOU","0","4","0","0","0","0.00","0.31","1.15","0.29","7.0","2","0","0","0","0","0","10","43.5%","0.0%","19.4%","34.4%","7005"
"Richard Bleier","MIA","0","0","2","0","0","0.00","2.29","1.96","0.71","5.2","3","0","0","0","1","1","4","21.1%","5.3%","10.2%","33.9%","7803"
"Hunter Strickland","MIL","0","0","0","0","0","0.00","1.46","2.44","0.71","7.0","3","0","0","0","2","0","9","37.5%","8.3%","19.8%","32.3%","7836"
"Sergio Romo","OAK","0","0","0","0","1","0.00","1.43","2.35","0.32","6.1","1","0","0","0","1","0","7","35.0%","5.0%","20.2%","39.3%","9817"
"Luke Jackson","ATL","0","0","2","0","0","0.00","2.57","4.07","0.80","5.0","1","0","0","0","3","0","6","31.6%","15.8%","8.4%","21.1%","11752"
"Chris Martin","ATL","0","0","3","0","0","0.00","2.50","3.65","1.00","6.0","4","0","0","0","2","0","5","22.7%","9.1%","12.8%","27.9%","11847"
"Blake Treinen","LAD","0","0","3","1","0","0.00","1.77","2.67","1.00","5.0","4","1","0","0","1","0","5","25.0%","5.0%","9.2%","25.3%","12572"
"Ryne Harper","WSN","0","0","0","0","0","0.00","1.77","2.71","0.80","5.0","3","0","0","0","1","0","5","26.3%","5.3%","15.9%","39.1%","12680"
"Noe Ramirez","ARI","0","0","3","0","0","0.00","1.97","2.86","0.40","5.0","1","0","0","0","1","0","6","33.3%","5.6%","6.6%","28.9%","12800"
"Andrew Kittredge","TBR","1","0","0","0","0","0.00","0.35","1.48","0.71","5.2","4","0","0","0","0","0","8","38.1%","0.0%","23.8%","36.3%","12828"
"Andrew Chafin","CHC","0","0","0","0","0","0.00","1.17","2.20","0.20","5.0","1","0","0","0","0","0","5","31.3%","0.0%","21.3%","34.4%","12988"
"Danny Coulombe","MIN","1","0","0","0","0","0.00","0.80","1.90","0.95","6.1","5","0","0","0","1","0","9","39.1%","4.3%","17.0%","29.8%","13293"
"Dylan Floro","MIA","0","0","1","0","0","0.00","2.77","4.40","1.40","5.0","3","1","0","0","4","0","7","30.4%","17.4%","10.7%","27.7%","13394"
"Shawn Morimando","MIA","0","0","0","0","0","0.00","3.57","5.40","1.40","5.0","3","0","0","0","4","0","5","22.7%","18.2%","4.4%","22.2%","13606"
"Dominic Leone","SFG","1","0","2","0","0","0.00","2.37","3.72","0.60","5.0","1","0","0","0","2","0","5","27.8%","11.1%","13.6%","30.3%","13763"
"Austin Adams","SDP","1","0","2","1","0","0.00","5.17","5.92","1.60","5.0","2","1","0","0","6","1","7","29.2%","25.0%","16.1%","36.8%","13801"
