"Name","Team","SV","HLD","BS","L","ERA","FIP","SIERA","WHIP","BABIP","K%","BB%","SwStr%","CSW%","playerid"
"Tommy Hunter","NYM","0","0","0","0","0.00","3.50","4.66","1.17",".235","19.2%","11.5%","5.4%","19.6%","1157"
"Oliver Perez","CLE","0","0","0","1","0.00","1.81","3.28","1.64",".385","22.2%","5.6%","10.7%","33.9%","1514"
"Charlie Culberson","TEX","0","0","0","0","0.00","3.17","5.33","1.00",".250","0.0%","0.0%","0.0%","0.0%","3298"
"Anthony Rizzo","CHC","0","0","0","0","0.00","4.67","7.06","1.50",".000","33.3%","33.3%","6.7%","33.3%","3473"
"Danny Duffy","KCR","0","0","0","0","0.00","1.17","-0.52","0.00",".000","33.3%","0.0%","26.7%","40.0%","3542"
"Pedro Strop","CHC","0","0","0","0","0.00","3.17","4.16","2.00",".400","30.0%","20.0%","11.1%","33.3%","4070"
"Asdrubal Cabrera","ARI","0","0","0","0","0.00","3.17","6.21","0.75",".250","0.0%","0.0%","0.0%","17.6%","4962"
"Sandy Leon","MIA","0","0","0","0","0.00","3.17","7.53","0.00",".000","0.0%","0.0%","8.3%","25.0%","5273"
"Jesse Chavez","ATL","0","0","0","0","0.00","0.36","1.14","0.38",".125","50.0%","5.6%","10.0%","41.4%","5448"
"Marwin Gonzalez","BOS","0","0","0","0","0.00","3.17","4.90","0.00",".000","0.0%","0.0%","0.0%","9.1%","5497"
"Hernan Perez","WSN","0","0","0","0","0.00","1.17","3.78","0.50",".200","28.6%","0.0%","18.8%","18.8%","5751"
"Trevor Cahill","PIT","0","0","0","0","0.00","5.42","8.68","2.25",".000","42.9%","42.9%","8.6%","28.6%","6249"
"Jake Odorizzi","HOU","0","0","0","0","0.00","1.67","2.83","0.50",".182","21.4%","0.0%","16.4%","34.5%","6397"
"Wily Peralta","DET","0","1","0","0","0.00","3.92","6.32","0.75",".000","20.0%","20.0%","12.5%","29.2%","7738"
"Matt Carpenter","STL","0","0","0","0","0.00","5.42","8.59","1.50",".400","0.0%","0.0%","0.0%","23.1%","8090"
"Tanner Roark","TOR","0","0","0","0","0.00","3.17","4.51","0.75",".091","18.8%","12.5%","4.2%","20.8%","8753"
"Mike Freeman","CIN","0","0","0","0","0.00","-2.83","-0.16","0.00",".000","100.0%","0.0%","0.0%","75.0%","11241"
"Ronald Torreyes","PHI","0","0","0","0","0.00","3.17","7.53","0.00",".000","0.0%","0.0%","0.0%","40.0%","11400"
"Hanser Alberto","KCR","0","0","0","0","0.00","3.17","13.43","0.00",".000","0.0%","0.0%","0.0%","0.0%","11902"
"Domingo Tapia","SEA","0","0","0","0","0.00","3.67","4.67","2.50",".444","9.1%","9.1%","11.4%","22.9%","12178"
"Phillip Evans","PIT","0","0","0","0","0.00","3.17","9.93","0.00",".000","0.0%","0.0%","0.0%","0.0%","12950"
"Joe Musgrove","SDP","0","0","0","0","0.00","2.57","3.73","0.00",".000","18.8%","0.0%","11.9%","27.1%","12970"
"Ross Stripling","TOR","0","0","0","0","0.00","2.46","2.96","0.57",".143","29.2%","8.3%","14.5%","32.9%","13273"
"Danny Coulombe","MIN","0","0","0","0","0.00","0.80","1.90","0.95",".385","39.1%","4.3%","17.0%","29.8%","13293"
"Brandon Brennan","BOS","0","0","0","0","0.00","4.50","6.87","1.67",".375","9.1%","18.2%","16.7%","23.8%","13527"
"Matt Duffy","CHC","0","0","0","0","0.00","3.17","-1.00","0.00",".000","0.0%","0.0%","0.0%","20.0%","13836"
"Daniel Robertson","MIL","0","0","0","0","0.00","3.17","6.21","1.00",".250","0.0%","0.0%","10.0%","30.0%","14145"
"Wyatt Mathisen","ARI","0","0","0","0","0.00","3.17","7.10","1.00",".250","0.0%","0.0%","0.0%","10.0%","14555"
"Jandel Gustave","MIL","0","0","0","0","0.00","4.17","1.32","0.00",".000","33.3%","0.0%","12.5%","25.0%","14665"
"Harold Castro","DET","0","0","0","0","0.00","6.55","10.81","1.13",".000","0.0%","27.3%","0.0%","12.5%","14691"
